Doublet Creation,Neighbour search,CA,Extract Possible Tracks,Remove Short,Remove Ghost and Clones,Full Time,Total Hits in Event,Maximum number of Hits in a Sensor
0.953993999999966,42.01261999999997,1.2669960000000628,15.099934000000076,0.0015479999999570282,0.22953700000016397,59.565365000000156,2634,73
0.9116819999999279,42.13201400000003,1.2617529999999988,15.028802999999925,0.0015309999998862622,0.23075199999993856,59.56710399999997,2634,73
0.968511000000035,42.28947100000005,1.247002000000066,14.973960000000034,0.0015409999998610147,0.22995900000000802,59.710993000000144,2634,73
0.9814770000000408,42.48302899999999,1.263783999999987,15.007111000000123,0.0015499999999519787,0.23101299999984803,59.968515000000025,2634,73
0.9735960000000432,42.55108999999993,1.2442479999999705,15.027654999999868,0.0015579999999317806,0.2278270000001612,60.026525999999876,2634,73
0.7838080000001355,32.35699100000011,1.1913810000000922,48.86393399999997,0.0013590000000931468,0.18859900000006746,83.38667199999986,2368,58
0.7843800000000556,31.853631999999834,1.2220119999999497,49.23733799999991,0.0013559999999870342,0.18745000000012624,83.28665999999998,2368,58
0.7916759999998249,32.34205999999995,1.197838000000047,48.86627599999974,0.0013369999996939441,0.18987499999957436,83.38957600000003,2368,58
0.792971000000307,31.79511700000012,1.2004119999996874,49.00963199999978,0.0013699999999516876,0.19921000000022104,82.99921799999993,2368,58
0.7623920000000908,32.04193200000009,1.221780000000308,48.98784500000011,0.0013030000000071595,0.18887199999971926,83.20463599999994,2368,58
2.5583259999998518,227.02237699999978,3.415056000000277,30.471060000000307,0.005116999999700056,1.2674289999999928,264.7399169999999,4352,119
2.638702000000194,228.58374700000013,3.5062090000001263,31.006958000000395,0.00519399999984671,1.2841090000001714,267.0258779999999,4352,119
2.737579000000096,229.88774700000022,3.6286700000000565,30.568975000000137,0.005468000000291795,1.3312439999999697,268.1607240000003,4352,119
2.702584999999999,227.56946800000014,3.48700400000007,30.508804000000055,0.005278999999973166,1.2730469999996785,265.5471400000001,4352,119
2.5313689999998132,227.91882600000008,3.5266489999999067,30.566268000000036,0.005245000000286382,1.2725080000000162,265.82182200000034,4352,119
1.4162209999999504,86.2651380000002,1.9364430000000539,45.22722299999987,0.002699000000120577,0.5912210000001323,135.44000899999992,3366,84
1.450104999999894,87.13162799999964,1.917304999999942,45.57746100000031,0.002735000000029686,0.5401809999998477,136.62038200000006,3366,84
1.586692000000312,86.25671999999986,1.9044139999996332,44.466903,0.002778000000034808,0.5383489999999256,134.7565810000001,3366,84
1.4991140000001906,86.03031899999996,1.9095850000003338,44.619196999999986,0.0027909999998882995,0.5421040000001085,134.6038410000001,3366,84
1.462178999999196,86.27535799999987,1.9086939999997412,44.54568900000049,0.002710000000661239,0.6268810000001395,134.82223500000055,3366,84
0.07567399999970803,1.6891120000000228,0.10976300000038464,1.4385680000004868,0.00024699999994481914,0.014259999999922002,3.329382999999325,775,32
0.0756890000002386,1.6854399999992893,0.09718400000019756,1.4365999999999985,0.00021600000036414713,0.012732000000141852,3.308012000000417,775,32
0.07531400000061694,1.6906400000007125,0.09637000000020635,1.4431679999997868,0.000232000000323751,0.012765999999828637,3.3186290000003282,775,32
0.07600400000046648,1.6893709999994826,0.10311599999931786,1.4397589999998672,0.0001830000001064036,0.012920999999550986,3.3214899999993577,775,32
0.11097100000006321,1.6862730000002557,0.09813699999995151,1.4620340000001306,0.00023400000009132782,0.012748000000101456,3.3705330000002505,775,32
0.2075089999998454,5.73518999999942,0.27331499999945663,5.973235000000386,0.0004839999992327648,0.03632000000015978,12.226424999999836,1264,35
0.2057039999999688,5.670027999999547,0.2736539999996239,6.005029999999351,0.00047900000026857015,0.03632300000026589,12.19148100000075,1264,35
0.20626900000024762,5.694058000000041,0.27256800000031944,6.008120999999846,0.0004779999999300344,0.03645499999947788,12.218174999999974,1264,35
0.20504299999993236,5.692414000000099,0.2725379999992583,6.0083629999999175,0.0004330000001573353,0.036216999999851396,12.215236000000004,1264,35
0.2049859999997352,5.725757999999587,0.27383300000019517,5.9741839999996955,0.0004799999996976112,0.03616199999942182,12.215632000000369,1264,35
1.9823689999993803,134.5859500000006,2.332331999999951,18.510663000000022,0.0035570000000006985,0.8562919999994847,158.27143400000023,3902,94
2.015567999999803,135.2962149999994,2.363717000000179,18.518709000000854,0.0036609999997381237,0.857239999999365,159.05593300000055,3902,94
2.000289000000521,135.25363900000048,2.3858839999993506,18.54509599999983,0.0036980000004405156,0.8565820000003441,159.04601400000047,3902,94
1.9278159999994386,135.31600100000014,2.387263999999959,18.595655999999508,0.0036460000001170556,0.8593970000001718,159.09060600000066,3902,94
1.9817450000000463,136.28824900000018,2.401064000000588,18.486095999999634,0.0037050000000817818,0.8621769999999742,160.02387999999974,3902,94
2.58390799999961,207.70310699999936,3.557389999999941,36.44344000000001,0.006159999999908905,1.2310049999996409,251.52594500000032,4214,113
2.5526199999994788,233.28884800000014,4.139833000000181,43.89991100000043,0.005162999999811291,1.2650030000004335,285.15233199999966,4214,113
2.6620759999996153,210.17331999999988,3.536135999999715,36.77002300000004,0.005173999999897205,1.2255489999997735,254.37325899999996,4214,113
2.4632650000003196,208.18580399999973,3.5868299999992814,36.83167400000002,0.005138000000442844,1.2191940000002432,252.2928579999998,4214,113
2.394586000000345,217.79379399999925,5.486225999999988,47.03560800000014,0.008201999999982945,1.517837999999756,274.23737100000017,4214,113
0.9863209999994069,36.39415100000042,1.0508939999999711,11.37365200000022,0.0013150000004316098,0.1704620000000432,49.97855399999935,2263,69
0.7925500000001193,36.3032119999998,1.0626410000004398,11.913164000000506,0.0013380000000324799,0.17562499999985448,50.24902300000031,2263,69
0.8300010000002658,40.62020200000006,1.0193179999996573,10.856657999999697,0.0013259999996080296,0.16986199999973906,53.49785100000008,2263,69
0.7914230000005773,36.24958599999991,1.018264000000272,10.944013000000268,0.0012790000000677537,0.1705599999995684,49.17561299999943,2263,69
0.7862439999998969,37.56479500000023,1.0326950000007855,10.994858000000022,0.0014650000002802699,0.1846429999995962,50.565246999999545,2263,69
0.5840669999997772,15.369596999999885,0.7329190000000381,37.030291000000034,0.0009419999996680417,0.0938239999995858,53.812347999999474,1871,50
0.5008349999998245,15.27740199999971,0.7358180000001084,36.90895100000034,0.0008680000000822474,0.09259199999996781,53.51685799999996,1871,50
0.4728110000005472,15.27002100000027,0.7160889999995561,36.99315300000035,0.0009069999996427214,0.09184999999979482,53.545216999999866,1871,50
0.48376900000039313,15.340208999999959,0.7268340000000535,36.884533000000374,0.0008740000002944726,0.09255299999949784,53.52915899999971,1871,50
0.5253960000000006,15.16440700000021,0.7093960000001971,36.91049699999985,0.0008379999999306165,0.09281000000009954,53.40373700000055,1871,50
0.1443570000001273,2.9928490000002057,0.1958199999999124,2.6763350000001083,0.00032699999974283855,0.020011000000522472,6.030291000000034,988,33
0.13949800000045798,2.9467720000002373,0.17221799999970244,2.700141000000258,0.00032299999929819023,0.01994699999977456,5.979091999999582,988,33
0.1411370000005263,3.0289020000000164,0.18089099999997416,2.750528000000486,0.0003280000000813743,0.019943000000239408,6.121906999999737,988,33
0.1426259999998365,2.9528220000001966,0.1767469999995228,2.6962210000001505,0.0002859999995052931,0.019712999999683234,5.988581999999951,988,33
0.1415080000006128,2.958961000000272,0.16918600000008155,2.7221989999998186,0.00033199999961652793,0.020610999999917112,6.012983000000531,988,33
0.8867990000007921,43.318664000000354,1.2009820000002946,22.135866000000533,0.0015280000006896444,0.22481900000002497,67.76887500000066,2478,68
0.8948340000006283,43.756508999999824,1.2559250000003885,22.400512000000163,0.001607999999578169,0.22666300000037154,68.53665100000035,2478,68
0.879425999999512,43.26176000000032,1.274796000000606,21.81640999999945,0.001584999999977299,0.22888200000033976,67.46337700000004,2478,68
0.8632440000001225,43.30548699999963,1.2264339999992444,21.814290999999685,0.0015729999995528487,0.2248490000001766,67.4364000000005,2478,68
0.8564310000001569,42.85272999999961,1.2266420000005382,21.655029999999897,0.0016139999997903942,0.2242470000001049,66.81720800000039,2478,68
1.6422569999995176,100.99308399999973,2.081916000000092,18.631556000000273,0.0028889999994134996,0.5849289999996472,123.93720699999994,3538,85
1.6065550000002986,100.62374100000034,2.0775650000005044,18.362828999999692,0.002846000000317872,0.5785150000001522,123.25279599999976,3538,85
1.5888420000001133,101.73363599999993,2.1179050000000643,18.78801199999998,0.0028449999999793363,0.5760209999998551,124.80803000000014,3538,85
1.5917890000000625,101.80302100000063,2.079478999999992,18.690503999999237,0.0028339999998934218,0.5887489999995523,124.75714599999992,3538,85
1.6368099999999686,101.3099170000005,2.087011999999959,18.433476999999584,0.002830999999787309,0.5775760000005903,124.04838199999995,3538,85
0.6125590000001466,26.68259399999988,1.032666000000063,26.628759000000173,0.0011830000003101304,0.14632999999957974,55.10510400000021,2181,57
0.68195999999989,26.59391599999981,1.0001549999997223,26.50594099999944,0.0012360000000626314,0.14716100000077859,54.93081799999982,2181,57
0.682847000000038,26.503466000000117,0.9974019999999655,26.53657000000021,0.0013250000001789886,0.1492580000003727,54.87131000000045,2181,57
0.6910080000006928,26.43599499999982,0.9884430000001885,26.352951000000758,0.0011990000002697343,0.14671000000089407,54.61674700000094,2181,57
0.6798180000005232,26.406721999999718,0.9938309999997728,26.773776999998518,0.0012280000009923242,0.14799199999833945,55.00380099999893,2181,57
0.8146580000011454,32.92925600000126,1.0659230000001116,19.39766299999974,0.0012829999996029073,0.17193700000098033,54.3812080000007,2409,64
